2026-02-04 16:55:45 | INFO     | app | IDC资产管理日志已启用，文件: /root/idc资产管理/IDC项目/logs/idc_asset.log
2026-02-04 16:55:45 | INFO     | uvicorn.error | Started server process [552763]
2026-02-04 16:55:45 | INFO     | uvicorn.error | Waiting for application startup.
2026-02-04 16:55:45 | INFO     | uvicorn.error | Application startup complete.
2026-02-04 16:55:45 | INFO     | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-02-04 16:55:55 | INFO     | app.main | 请求 | GET / | 状态=200 | 耗时=1.47 ms | 客户端=127.0.0.1
2026-02-04 16:56:19 | INFO     | app.main | 请求 | GET / | 状态=200 | 耗时=0.97 ms | 客户端=127.0.0.1
2026-02-04 16:56:36 | INFO     | app.main | 请求 | GET /api/v1/receipts/ | 状态=307 | 耗时=1.30 ms | 客户端=127.0.0.1
2026-02-04 16:56:36 | INFO     | app.main | 请求 | GET /api/v1/receipts | 状态=403 | 耗时=8.62 ms | 客户端=127.0.0.1
2026-02-04 16:56:36 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=28.23 ms | 客户端=127.0.0.1
2026-02-04 16:56:41 | INFO     | app.main | 请求 | POST /api/v1/users/login | 状态=200 | 耗时=350.66 ms | 客户端=127.0.0.1
2026-02-04 16:56:41 | INFO     | app.main | 请求 | GET /api/v1/receipts/ | 状态=307 | 耗时=1.20 ms | 客户端=127.0.0.1
2026-02-04 16:56:41 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=5.38 ms | 客户端=127.0.0.1
2026-02-04 16:56:41 | INFO     | app.main | 请求 | GET /api/v1/receipts | 状态=403 | 耗时=1.16 ms | 客户端=127.0.0.1
2026-02-04 16:56:49 | INFO     | app.main | 请求 | POST /api/v1/users/login | 状态=200 | 耗时=320.19 ms | 客户端=127.0.0.1
2026-02-04 16:56:49 | INFO     | app.main | 请求 | GET /api/v1/receipts/ | 状态=307 | 耗时=0.83 ms | 客户端=127.0.0.1
2026-02-04 16:56:49 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=4.56 ms | 客户端=127.0.0.1
2026-02-04 16:56:49 | INFO     | app.main | 请求 | GET /api/v1/receipts | 状态=403 | 耗时=1.12 ms | 客户端=127.0.0.1
2026-02-04 16:57:05 | INFO     | app.main | 请求 | POST /api/v1/users/login | 状态=200 | 耗时=321.25 ms | 客户端=127.0.0.1
2026-02-04 16:57:05 | INFO     | app.main | 请求 | GET /api/v1/receipts/ | 状态=307 | 耗时=0.85 ms | 客户端=127.0.0.1
2026-02-04 16:57:05 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=4.97 ms | 客户端=127.0.0.1
2026-02-04 16:57:05 | INFO     | app.main | 请求 | GET /api/v1/receipts | 状态=403 | 耗时=1.09 ms | 客户端=127.0.0.1
2026-02-04 16:58:28 | INFO     | app.main | 请求 | POST /api/v1/users/login | 状态=401 | 耗时=319.71 ms | 客户端=127.0.0.1
2026-02-04 16:58:46 | INFO     | app.main | 请求 | POST /api/v1/users/login | 状态=200 | 耗时=320.02 ms | 客户端=127.0.0.1
2026-02-04 17:01:17 | INFO     | app.main | 请求 | POST /api/v1/users/login | 状态=200 | 耗时=320.63 ms | 客户端=127.0.0.1
2026-02-04 17:01:17 | INFO     | app.main | 请求 | GET /api/v1/receipts/ | 状态=307 | 耗时=1.37 ms | 客户端=127.0.0.1
2026-02-04 17:01:17 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=5.54 ms | 客户端=127.0.0.1
2026-02-04 17:01:17 | INFO     | app.main | 请求 | GET /api/v1/receipts | 状态=403 | 耗时=1.10 ms | 客户端=127.0.0.1
2026-02-04 17:01:28 | INFO     | app.main | 请求 | POST /api/v1/users/login | 状态=200 | 耗时=319.70 ms | 客户端=127.0.0.1
2026-02-04 17:01:28 | INFO     | app.main | 请求 | GET /api/v1/receipts/ | 状态=307 | 耗时=0.52 ms | 客户端=127.0.0.1
2026-02-04 17:01:28 | INFO     | app.main | 请求 | GET /api/v1/servers/ | 状态=200 | 耗时=3.78 ms | 客户端=127.0.0.1
2026-02-04 17:01:28 | INFO     | app.main | 请求 | GET /api/v1/receipts | 状态=403 | 耗时=1.47 ms | 客户端=127.0.0.1
2026-02-04 17:07:03 | INFO     | app.main | 请求 | POST /api/v1/users/login | 状态=200 | 耗时=320.79 ms | 客户端=127.0.0.1
2026-02-04 17:07:03 | INFO     | app.main | 请求 | GET /api/v1/receipts/ | 状态=307 | 耗时=0.49 ms | 客户端=127.0.0.1
